Source Text,Translation
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Vào thứ Hai, các nhà khoa học tại Trường Y khoa Đại học Stanford đã công bố phát minh ra một công cụ chẩn đoán mới, đó là một con chip nhỏ có thể in được, có thể được sản xuất bằng các máy in phun mực tiêu chuẩn với chi phí chỉ khoảng một xu Mỹ mỗi chiếc."
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Các nhà nghiên cứu dẫn đầu cho biết điều này có thể mang lại khả năng phát hiện sớm các bệnh như ung thư, lao, HIV và sốt rét cho bệnh nhân ở các nước có thu nhập thấp, nơi tỷ lệ sống sót cho các bệnh như ung thư vú có thể thấp hơn tới một nửa so với ở các nước giàu hơn."
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Chiếc máy bay JAS 39C Gripen đã rơi xuống đường băng của sân bay vào lúc 9:30 sáng giờ địa phương (0230 UTC) và phát nổ, khiến sân bay phải tạm ngưng hoạt động đối với các chuyến bay thương mại."
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Người phi công được xác định là Trung tá Dilokrit Pattavee.
Local media reports an airport fire vehicle rolled over while responding.,Các báo địa phương đưa tin rằng một xe chữa cháy tại sân bay đã bị lật khi đang ứng cứu.
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Vidal, 28 tuổi, đã chuyển từ Sevilla sang gia nhập Barça cách đây ba mùa giải."
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Từ khi gia nhập câu lạc bộ tại thành phố Barcelona, Vidal đã đá 49 trận."
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Cuộc biểu tình bắt đầu vào khoảng 11:00 giờ địa phương (múi giờ UTC+1) tại phố Whitehall đối diện với lối vào được bảo vệ nghiêm ngặt bởi cảnh sát của Phố Downing, địa điểm ở chính thức của Thủ tướng."
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Ngay sau 11:00, những người biểu tình đã chặn giao thông trên phần đường hướng bắc tại Whitehall, khu vực nổi tiếng ở London."
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","Vào lúc 11:20, cảnh sát yêu cầu người biểu tình lùi lại về vỉa hè, lý giải rằng họ cần cân bằng quyền biểu tình với tình trạng giao thông đang tắc nghẽn."
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Vào khoảng 11:29 sáng, cuộc biểu tình tiến lên Whitehall, qua Quảng trường Trafalgar, dọc theo Strand, qua Aldwych rồi tiếp tục lên Kingsway hướng tới Holborn nơi Đảng Bảo thủ đang tổ chức Diễn đàn Mùa Xuân của họ tại khách sạn Grand Connaught Rooms."
Nadal's head to head record against the Canadian is 7–2.,Nadal có thành tích đối đầu với tay vợt tennis người Canada là 7–2.
He recently lost against Raonic in the Brisbane Open.,Anh ấy vừa thua Raonic ở Brisbane Open.
Nadal bagged 88% net points in the match winning 76 points in the first serve.,"Trong trận đấu, Nadal giành được 88% điểm khi tiến lên lưới và 76 điểm từ những lần giao bóng đầu tiên."
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Sau trận đấu, Rafael Nadal, biệt danh là Vua sân đất nện, nói, ""Tôi rất hào hứng khi trở lại vòng cuối cùng của các giải đấu quan trọng nhất. Tôi ở đây với quyết tâm cao nhất để giành chiến thắng."""
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""‘Panama Papers’"" là thuật ngữ chung cho khoảng mười triệu tài liệu pháp lý quan trọng từ công ty luật Mossack Fonseca của Panama, đã rò rỉ ra báo chí vào mùa xuân năm 2016."
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,Các tài liệu cho thấy mười bốn ngân hàng đã hỗ trợ các khách hàng giàu có trong việc che giấu hàng tỷ đô la Mỹ để tránh thuế và các quy định pháp lý khác.
British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,Tờ báo Anh The Guardian cho biết Ngân hàng Deutsche Bank kiểm soát khoảng một phần ba của 1200 công ty ma được sử dụng để thực hiện các hoạt động tài chính này.
"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Có các cuộc biểu tình trên toàn thế giới, các vụ truy tố hình sự, và thủ tướng của các chính phủ Iceland và Pakistan đã từ chức."
"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Sinh ra ở Hồng Kông, Ma học tại Đại học New York và Trường Luật Harvard và từng sở hữu thẻ cư trú vĩnh viễn ""thẻ xanh"" của Mỹ, loại thẻ cho phép người nước ngoài lâu dài tại Mỹ."
Hsieh implied during the election that Ma might flee the country during a time of crisis.,Hsieh đề cập trong cuộc bầu cử rằng Ma có thể bỏ trốn khỏi đất nước trong lúc khủng hoảng.
Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh cũng bày tỏ rằng Ma chỉ đẹp đẽ trong ảnh nhưng chú trọng hình thức hơn là bản chất.
"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Mặc dù có những cáo buộc này, Ma đã thắng lợi một cách thuyết phục với nền tảng chính sách ủng hộ mối quan hệ chặt chẽ hơn với Trung Quốc đại lục."
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Alex Ovechkin của CLB Washington Capitals là Cầu thủ của ngày hôm nay.
He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Anh ấy ghi 2 bàn thắng và 2 đường kiến tạo trong trận đấu hockey khi Washington đánh bại Atlanta Thrashers với tỷ số 5-3.
Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Đường kiến tạo đầu tiên trong đêm của Ovechkin để ghi bàn thắng quyết định của cầu thủ mới Nicklas Backstrom;
"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","Bàn thắng thứ hai của anh ấy tối đó là bàn thắng thứ 60 của mùa giải, lần đầu tiên kể từ năm 1995-96, khi Jaromir Jagr và Mario Lemieux mỗi người cũng đạt được thành tích này, anh ấy trở thành cầu thủ đầu tiên ghi được 60 bàn thắng hoặc nhiều hơn trong một mùa giải."
Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten được xếp hạng 190 trong danh sách Forbes 400 người giàu nhất nước Mỹ năm 2008 với tài sản ước tính khoảng 2,3 tỷ đô la Mỹ."
He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Anh tốt nghiệp từ Khoa Nghệ thuật và Khoa học của Đại học Virginia vào năm 1950 và là nhà tài trợ lớn cho trường Đại học Virginia.
Iraq's Abu Ghraib prison has been set alight during a riot.,Nhà tù Abu Ghraib ở Iraq đã bị đốt trong một cuộc bùng nổ.
