Sentence,translated_text
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.","Thiết kế tương tác người dùng đòi hỏi các yếu tố của một dự án phải liên kết với nhau, và cũng phải có ý nghĩa khi đứng một mình."
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,Các siêu thị đang dần có thêm nhiều phần thực phẩm đã chế biến sẵn phong phú hơn. Một số siêu thị thậm chí còn cung cấp lò vi sóng hoặc các thiết bị hỗ trợ khác để hâm nóng thức ăn.
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,Một nhân viên công ty khí đốt đã đến hiện trường sau khi nhận được cuộc gọi từ một người hàng xóm về việc rò rỉ khí đốt.
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",Ít nhất 100 người đã tham dự đám tiệc để kỷ niệm ngày cưới đầu tiên của đôi vợ chồng đã cưới vào năm ngoái.
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","Quần đảo Cook là một quốc gia quần đảo nằm trong liên kết tự do với New Zealand, thuộc vùng Polynesia, nằm ở trung tâm của Thái Bình Dương phía Nam."
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".","Tế bào rất cơ bản và quan trọng đến mức trong nghiên cứu về sự sống, thực tế là chúng thường được gọi là ""các đơn vị cấu tạo của sự sống""."
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,Ứng dụng dịch văn bản tức thời – cho phép dịch tự động toàn bộ đoạn văn giữa các ngôn ngữ.
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.",Tướng John Cadwalader sẽ phát động một cuộc tấn công nghi binh vào đồn trú của người Anh tại Bordentown nhằm chặn đứng bất kỳ lực lượng tăng援 nào.
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,Drukgyal Dzong là một lâu đài và chùa Phật giáo tàn tích nằm ở phía trên của huyện Paro (thuộc làng Phondey).
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,Yêu cầu và lệ phí thị thực khác nhau tùy theo quốc gia và phụ thuộc vào quốc gia bạn đến từ đi.
"For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course.","Ở hầu hết các quốc gia, bạn sẽ cần một thư chấp nhận từ trường đại học bạn muốn học và cũng phải có bằng chứng về khả năng tài chính để chi trả cho bản thân trong năm học đầu tiên."
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","Trong hiện tượng cộng hưởng này, từ trường và sóng điện từ khiến nguyên tử phát xạ các tín hiệu vô tuyến rất nhỏ."
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.","Do đó, những điều khủng khiếp của Bệnh tiêu chảy Delhi, Lời nguyền của các Pharaoh, Bệnh tiêu chảy của Montezuma, và nhiều điều khủng khiếp khác."
"It has the same molecular structure whether it is a gas, liquid, or solid.","Nó có cấu trúc phân tử giống nhau dù ở thể khí, lỏng hoặc rắn."
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,"Hàng nghìn nhân viên sinh sống tại đây vào mùa hè trong gần bốn chục căn cứ, chủ yếu tập trung ở những khu vực đó; một số ít ở lại suốt mùa đông."
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","Công ty quản lý của ban nhạc, HK Management Inc., không đưa ra lý do cụ thể khi họ hủy bỏ vào ngày 20 tháng 9, nhưng trình bày lý do về mặt hậu cần ngày hôm sau."
