Sentence,id,Translation
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.",453,"Thiết kế tương tác đòi hỏi các thành phần của dự án được kết nối với nhau, nhưng cũng mang ý nghĩa như một thực thể tách rời."
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,792,Các siêu thị ngày càng có nhiều khu vực thực phẩm làm sẵn khác nhau. Thậm chí một số nơi còn trang bị lò vi sóng hoặc các dụng cụ khác để hâm nóng thức ăn.
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,209,Một nhân viên của công ty gas đã đến hiện trường sau khi một người hàng xóm gọi điện thoại báo có rò rỉ gas.
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",309,Có ít nhất 100 người đã tham dự bữa tiệc để kỷ niệm một năm ngày cưới của một cặp đôi tổ chức lễ cưới năm ngoái.
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.",739,"Quần Đảo Cook là một quốc đảo được tự do liên kết với New Zealand, tọa lạc tại Polynesia, ở giữa biển Nam Thái Bình Dương."
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".",578,"Tế bào là đối tượng căn bản và thiết yếu để nghiên cứu về sự sống, cho nên chúng thường được gọi là ""những viên gạch xây nên sự sống""."
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,914,Ứng dụng dịch văn bản theo thời gian thực – những ứng dụng có thể dịch tự động tất cả các đoạn văn bản từ ngôn ngữ này sang ngôn ngữ khác.
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.",545,"Đại tướng John Cadwalder sẽ mở cuộc tấn công nghi binh chống lại nơi đóng quân của quân Anh tại Bordentown, để chặn đứng bất kỳ quân tiếp viện nào."
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,436,Drukgyal Dzong là khu phế tích của một pháo đài kiêm tu viện Phật Giáo nằm ở thượng vùng Quận Paro (trong Làng Phondey).
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,677,Yêu cầu và chi phí thị thực khác nhau tùy theo quốc gia và chịu ảnh hưởng bởi quốc gia mà bạn đến từ.
"For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course.",933,"Đa số các nước đều yêu cầu có thư mời học từ cơ sở giáo dục mà bạn muốn theo học, cùng với bằng chứng chứng minh nguồn tài chính chi trả cho ít nhất năm đầu tiên của khóa học bạn chọn."
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.",635,"Trong sự cộng hưởng này, lực từ trường và sóng vô tuyến tạo nên các nguyên tử phát ra những tín hiệu vô tuyến siêu nhỏ."
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.",864,"Vì vậy phát sinh “Tai họa của Delhi Belly, Lời nguyền của Pharaoh, Sự báo thù của Montezuma” và nhiều thuật ngữ tương tự khác."
"It has the same molecular structure whether it is a gas, liquid, or solid.",603,"Nó có cùng cấu trúc phân tử bất luận ở thể khí, thể rắn, hay thể lỏng."
