Sentence,translated_text
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.","Thiết kế tương tác đòi hỏi các thành phần của một dự án phải kết nối với nhau, nhưng cũng phải có ý nghĩa như một thực thể riêng biệt."
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,Các siêu thị ngày càng đa dạng về thực phẩm đã chế biến sẵn. Một số thậm chí còn cung cấp lò vi sóng hoặc các thiết bị làm nóng khác.
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,Một nhân viên của công ty khí đốt đã đến hiện trường sau khi nhận được cuộc gọi báo rò rỉ khí đốt từ một người hàng xóm.
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.","Ít nhất 100 người đã tham dự bữa tiệc, nhằm mục đích kỷ niệm ngày kỷ niệm một năm của một đôi vợ chồng đã tổ chức đám cưới vào năm ngoái."
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","Quần đảo Cook là một quốc gia đảo có quan hệ tự do với New Zealand, nằm ở Polynesia, ở giữa Thái Bình Dương phía Nam."
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".","Tế bào là cơ bản và quan trọng nhất trong việc nghiên cứu sự sống con người, thực tế, chúng thường được gọi là 'các khối xây dựng của sự sống con người'."
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,Ứng dụng dịch văn bản thời gian thực – các ứng dụng dịch văn bản thời gian thực có khả năng tự động dịch toàn bộ các đoạn văn bản từ một ngôn ngữ sang một ngôn ngữ khác.
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.","Tướng John Cadwalader sẽ phát động một cuộc tấn công đánh lạc hướng vào đồn trú của người Anh tại Bordentown, nhằm ngăn chặn bất kỳ lực lượng tăng援 nào."
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,"Drukgyal Dzong là một pháo đài đổ nát và tu viện Phật giáo ở phần trên của quận Paro, thuộc làng Phondey."
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,Yêu cầu và chi phí thị thực khác nhau tùy quốc gia và bị ảnh hưởng bởi quốc tịch của bạn.
"For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course.","Đối với hầu hết các quốc gia khi du học, bạn sẽ cần một bức thư mời, từ trường đại học bạn muốn theo học và cũng cần bằng chứng về tài chính để hỗ trợ bản thân trong suốt năm học đầu tiên của khóa học."
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","Trong sự cộng hưởng này, từ trường và sóng vô tuyến khiến nguyên tử phát ra các tín hiệu vô tuyến nhỏ."
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.","Vậy là các chứng bệnh du lịch nổi tiếng của chứng Delhi Belly, lời nguyền của Pha-ra-ôn, sự báo thù của Montezuma, và các tên trộm của chúng."
"It has the same molecular structure whether it is a gas, liquid, or solid.","Nó có cấu trúc phân tử giống nhau dù ở thể khí, lỏng hay rắn."
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,"Vài nghìn nhân viên sống ở đây vào mùa hè trong khoảng bốn chục căn cứ, chủ yếu ở những khu vực đó; một số ít nhân viên ở lại qua mùa đông."
"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","Công ty quản lý của ban nhạc HK Management Inc., đã hủy buổi biểu diễn vào ngày 20 tháng 9 mà không đưa ra lý do ban đầu, nhưng Tuy nhiên sau đó trích dẫn lý do hậu cần vào ngày tiếp theo."
"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.","Mặc dù hầu hết các cơ quan đều sẵn sàng nhận hầu hết các đặt phòng thường xuyên, nhưng nhiều đại lý chuyên về các loại hình du lịch cụ thể, phạm vi ngân sách cụ thể hoặc điểm đến cụ thể."
Its large glazed windows and thin walls would not have been able to resist a determined attack for long.,Những cửa sổ lớn bằng kính và tường mỏng của nó sẽ không thể chống lại một cuộc tấn công quyết liệt trong thời gian dài.
However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,"Tuy nhiên, vào năm 991, Ethelred phải đối mặt với một hạm đội Viking lớn hơn bất kỳ hạm đội nào kể từ thời Guthrum một thế kỷ trước."
"According to reports, an apartment on Macbeth Street exploded due to a gas leak.","Theo báo cáo, một căn hộ trên đường Macbeth đã phát nổ do rò rỉ khí gas."
When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic.,"Khi tất cả các cá thể trong một quần thể, giống hệt nhau về một đặc điểm kiểu hình cụ thể, chúng được gọi là đơn hình thái."
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".","Khi nhìn vào Mặt Trời, chúng ta thấy phần bên ngoài được gọi là quang cầu, có nghĩa là 'quả cầu' ánh sáng."
