Sentence,trasnlated_text
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.","Thiết kế tương tác yêu cầu các thành phần của một dự án kết nối với nhau, nhưng cũng có ý nghĩa như một thực thể riêng biệt."
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,Các siêu thị ngày càng nhận được một phần đa dạng hơn của thực phẩm làm sẵn.Một số thậm chí cung cấp lò vi sóng hoặc các phương tiện khác để làm nóng thức ăn.
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,Một quan chức của công ty gas đã báo cáo hiện trường sau khi một người hàng xóm gọi về rò rỉ khí đốt.
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.","Ít nhất 100 người đã tham dự bữa tiệc, để kỷ niệm đầu tiên của một cặp vợ chồng có đám cưới được tổ chức vào năm ngoái."
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","Quần đảo Cook là một quốc đảo trong hiệp hội miễn phí với New Zealand, nằm ở Polynesia, ở giữa Nam Thái Bình Dương."
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".","Các tế bào rất cơ bản và quan trọng đối với nghiên cứu về cuộc sống, trên thực tế, chúng thường được gọi là ""các khối xây dựng của cuộc sống""."
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,Ứng dụng Trình dịch văn bản thời gian thực-Các ứng dụng có khả năng tự động dịch toàn bộ phân đoạn văn bản từ ngôn ngữ này sang ngôn ngữ khác.
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.","Tướng John Cadwalder sẽ tiến hành một cuộc tấn công nghi binh chống lại quân đồn trú của Anh tại Bordentown, để ngăn chặn mọi quân tiếp viện."
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,Drukgyal Dzong là một pháo đài đổ nát và tu viện Phật giáo ở phần trên của quận Paro (ở làng Phondey).
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,Yêu cầu thị thực và chi phí khác nhau từ quốc gia này sang quốc gia khác và bị ảnh hưởng bởi quốc gia bạn đến.
