Sentence,translated_text
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.","Thiết kế tương tác yêu cầu các thành phần của dự án phải liên kết với nhau, nhưng cũng phải có ý nghĩa như một đơn vị độc lập."
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,Các siêu thị hiện nay ngày càng có nhiều phần thực phẩm chế biến sẵn đa dạng hơn. Một số siêu thị thậm chí còn cung cấp lò vi sóng hoặc các thiết bị để hâm nóng hoặc làm nóng lại thức ăn.
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,Một nhân viên công ty khí gas đã đến hiện trường sau khi nhận được cuộc gọi từ một người hàng xóm về việc rò rỉ khí gas.
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.","Có ít nhất 100 người đã tham dự bữa tiệc mừng, để kỷ niệm ngày cưới lần thứ nhất của một đôi vợ chồng đã tổ chức đám cưới vào năm ngoái."
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","Quần đảo Cook là một quốc gia đảo liên kết tự nguyện với New Zealand, nằm ở Châu Đại Dương, nằm ở trung tâm Thái Bình Dương phía Nam."
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".","Tế bào là quyết định đến mức trong lĩnh vực nghiên cứu về sự sống, vì thế chúng thường được gọi là ""viên gạch của sự sống""."
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,Ứng dụng dịch văn bản tức thời – các ứng dụng cho phép tự động dịch các đoạn văn bản từ ngôn ngữ này sang ngôn ngữ khác một cách tự động.
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.",Tướng John Cadwalder sẽ phát động một cuộc tấn công nghi binh vào đồn trú của người Anh tại Bordentown nhằm chặn đứng sự tăng援.
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,"Drukgyal Dzong là tàn tích của một lâu đài và tu viện Phật giáo, nằm ở thượng nguồn của quận Paro (thuộc làng Phondey)."
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,Yêu cầu và chi phí xin visa khác nhau tùy quốc gia và phụ thuộc vào quốc gia của bạn.
"For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course.","Ở hầu hết các quốc gia, bạn sẽ cần một thư mời nhập học từ trường bạn muốn học và cũng cần bằng chứng về khả năng tài chính để tự hỗ trợ bản thân trong ít nhất năm đầu tiên của chương trình học."
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","Trong hiện tượng cộng hưởng này, trường từ và sóng điện từ khiến các nguyên tử phát xạ tín hiệu điện từ nhỏ."
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.","Vậy những tai họa của Bệnh Tiêu Chảy Delhi, Lời Nguyền của Pharaon, Trả Thù của Montezuma, và nhiều bạn khác."
"It has the same molecular structure whether it is a gas, liquid, or solid.","Nó có cấu trúc phân tử giống nhau dù ở thể khí, lỏng hay rắn."
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,"Hàng nghìn nhân viên sinh sống tại đây vào mùa hè trong khoảng 40 căn cứ, chủ yếu tập trung ở những khu vực đó; một số ít vẫn ở lại qua mùa đông."
